smiles,e_t
C=CCNC(=O)C(=O)NCCCCCCCC,80.68010442744708
CCCNS(=O)(=O)c1ccc(N2CCCC2=O)cc1,73.08871910593007
Cn1cc(CN2CC[C@@H]3[C@@H]2CCN3CC2CC2)cn1,83.42942089628195
COc1cccc(CN2[C@H]3CC[C@@H]2[C@@H]2CNC[C@H]23)c1,78.90351886703866
O=C(/C=C/c1c(F)cccc1Cl)Nc1nnn[nH]1,46.50851553911343
Nc1ccc(S(=O)(=O)/N=C2\CCCCCN2)cc1,73.85994237777777
CCOC(=O)CN(CP(=O)(OCC)OCC)C(C)=O,93.8569842603756
CCOC(=O)c1c[nH]n2c1nc(=O)c1ccccc12,74.98325895750895
O=[N+]([O-])c1cnc(Sc2ccncn2)c([N+](=O)[O-])c1,47.470553863211535
C/C=C/C=C/C(=O)NCCS(=O)(=O)C(C)(C)C,50.44875365856569
CCc1ccccc1NC(=O)CN1CCCNCC1,74.55020069301827
N#Cc1ccccc1CN1CC(N2CCOCC2)C1,71.15328655811027
NC[C@@H]1CCN(CC(=O)NC2CCCCCCC2)C1,91.47099249897292
C=C[C@@H]1C[N@]2CC[C@@H]1C[C@H]2CNC(C)=O,60.350878229073714
O=C(O[C@@H]1CCOC1)c1ccc(-c2ncon2)cc1,67.36943626089487
O=C(c1cc(Br)ccc1-n1cnnn1)N1CCCC1,72.67251402279362
O=C(CCn1cc(Cl)cn1)N1CCC[C@@H]1C1(O)CC1,86.12107919412665
CN(C)[C@H]1[C@H](Nc2cccc(C#N)n2)[C@@H]2CCO[C@H]21,58.978180868085474
CCOCCCNc1cc(C2CC(N)C2)nc(N)n1,79.7764003580669
CCOC(=O)CSc1nnc(NC(C)=O)s1,64.8073807117762
N#CC1CN(c2nccc(C(F)(F)F)n2)C1,66.43597681715619
NC(=O)c1c(NCc2ccc(F)s2)cnn1CCF,61.07503300718963
CCn1nc([N+](=O)[O-])cc1I,60.18104657548247
O=C(/C=C/c1cc(CO)cs1)N[C@H](C(=O)O)C1CC1,47.69611782964785
CCCCCCCCN(CCO)C(=O)/C=C/C(=O)O,58.59521983517334
N#Cc1cccc(I)c1N,67.27812110842206
Cc1ccc(CN2CCc3nncn3CC2)c(C)c1,77.48058659827802
CC(C)OCCc1ccccn1,82.26586181647144
O=C(NCc1cccs1)N1CC(Cn2cncn2)C1,68.12731042131782
COCC1(CNC(=O)[C@]2(C)CCN(C)C2)CCC1,91.28984331252286
Cc1nn(Cc2ccccc2)c(N)c1C#N,78.98681676352862
O=C1NC(=O)[C@]23CCCCc4cccc(c42)C(=O)[C@H]13,71.728529078071
CC(C)NCCCNC(=S)NCCCNC(C)C,80.38761960016564
Cc1cc(C(=O)NCC2(CO)COC2)ccc1Cl,72.29387025837786
Cc1ccc(Cc2nn3c(S)nnc3nc2O)cc1,49.47942890948616
CC[C@H](NC(=O)c1cnn(CC)c1)C1CC(O)C1,90.41533802362392
C[C@@H]1[C@H](CO)CN1C(=O)OC(C)(C)C,94.96662569767796
Cc1cc(-c2nc3c([nH]2)CC(C)(C)CNC3=O)no1,71.0773929853458
O=C(O)CCN1CCC(CNC(=O)C2CCC2)CC1,92.07237681164406
O=C(O)[C@@H]1NCCOc2ccc(Br)cc21,76.95108105242252
CCCCOC(=O)N1CCOCCOCCOCC1,92.328606795636
CC(=O)c1cc(CN2CC(N3CCOCC3)C2)cs1,59.0829206086928
Cc1nc2cc(C(=O)NCCCO)ccc2s1,72.90337820176501
COc1cccc2c1CCCC(=O)C2,76.9234944676864
